zero_init	train_size	num_iters	accuracy	sparsity_0	sparsity_1	sparsity_2
True	100	2000	0.629	0.987	0.998	0.875
True	100	20000	0.724	0.98	0.996	0.88
False	100	20000	0.752	0.788	0.783	0.012
True	100	20000	0.700	0.989	0.99	0.02
True	100	20000	0.689	0.989	0.999	0.901
True	100	2000	0.693	0.982	0.997	0.84
True	100	2000	0.644	0.98	0.994	0.622
True	100	2000	0.695	0.989	0.998	0.888
True	100	20000	0.668	0.988	0.998	0.912
True	100	20000	0.689	0.992	0.999	0.89
True	100	20000	0.670	0.99	0.999	0.924
True	100	20000	0.688	0.986	0.998	0.915
True	100	20000	0.678	0.99	0.999	0.927
True	100	20000	0.700	0.992	0.999	0.923
False	100	20000	0.711	0.759	0.752	0.011
True	100	20000	0.718	0.991	0.998	0.919
False	100	20000	0.733	0.767	0.758	0.004
False	100	20000	0.738	0.761	0.756	0.0
True	100	20000	0.733	0.987	0.997	0.864
False	100	20000	0.699	0.751	0.747	0.0
False	100	20000	0.718	0.774	0.769	0.018
False	100	20000	0.760	0.81	0.807	0.011
True	100	20000	0.592	0.992	0.999	0.944
False	100	20000	0.719	0.807	0.805	0.008
False	100	20000	0.724	0.812	0.804	0.001
True	100	20000	0.672	0.992	0.999	0.956
False	100	20000	0.699	0.763	0.759	0.004
False	100	20000	0.722	0.784	0.783	0.023
True	100	20000	0.645	0.99	0.999	0.956
False	100	20000	0.738	0.797	0.792	0.0
False	100	20000	0.711	0.776	0.775	0.009
True	100	20000	0.696	0.993	0.999	0.928
False	100	20000	0.703	0.807	0.804	0.024
False	100	20000	0.730	0.776	0.772	0.009
True	100	20000	0.711	0.991	0.999	0.94
False	100	20000	0.705	0.784	0.775	0.008
False	100	20000	0.731	0.76	0.754	0.003
True	100	20000	0.714	0.992	0.999	0.922
False	100	20000	0.742	0.785	0.777	0.0
False	100	20000	0.721	0.806	0.799	0.005
True	100	20000	0.713	0.991	0.999	0.924
False	100	20000	0.709	0.753	0.745	0.004
False	100	20000	0.718	0.791	0.79	0.016
True	100	20000	0.660	0.99	0.999	0.928
False	100	20000	0.726	0.822	0.819	0.019
False	100	20000	0.709	0.803	0.797	0.006
True	100	20000	0.687	0.991	0.999	0.926
False	100	20000	0.705	0.793	0.788	0.004
False	100	20000	0.692	0.803	0.793	0.004
True	100	20000	0.644	0.991	0.999	0.94
False	100	20000	0.712	0.778	0.772	0.001
False	100	20000	0.727	0.788	0.784	0.011
True	100	20000	0.676	0.99	0.999	0.956
False	100	20000	0.745	0.767	0.757	0.0
True	100	20000	0.680	0.992	0.999	0.935
False	100	20000	0.749	0.822	0.816	0.007
False	100	20000	0.695	0.773	0.771	0.011
True	100	20000	0.669	0.986	0.999	0.942
False	100	20000	0.718	0.748	0.747	0.014
False	100	20000	0.698	0.79	0.784	0.016
True	100	20000	0.702	0.991	0.999	0.944
False	100	20000	0.726	0.789	0.782	0.003
False	100	20000	0.725	0.753	0.744	0.004
True	100	20000	0.714	0.99	0.999	0.92
False	100	20000	0.746	0.746	0.736	0.011
False	100	20000	0.731	0.812	0.806	0.0
True	100	20000	0.674	0.992	0.996	0.522
False	100	20000	0.710	0.767	0.758	0.004
